id_indicador;id_estado;id_curso;qt_ing_fem;qt_ing_masc;qt_mat_fem;qt_mat_masc;qt_conc_fem;qt_conc_masc
362;25;1;1;2;1;3;1;2
363;25;20;0;1;0;1;0;0
364;25;11;0;0;0;1;0;1
365;25;5;2;1;1;2;0;0
366;25;24;0;0;0;1;0;0
367;25;1;0;1;0;1;0;0
368;25;11;0;2;0;2;0;0
369;25;7;2;0;2;0;0;0
370;25;5;0;0;0;2;0;0
371;25;13;1;0;1;0;0;0
372;25;5;0;2;0;1;0;0
373;25;9;0;1;0;1;0;0
374;25;13;0;0;0;2;0;0
375;25;1;1;1;1;1;0;0
376;25;20;0;2;0;1;0;0
377;25;13;0;1;0;1;0;0
378;25;1;0;1;0;1;0;0
379;25;24;0;0;1;0;0;0
380;25;7;12;35;21;98;0;6
381;25;13;29;234;80;562;7;34
382;25;24;0;0;0;1;0;1
383;25;8;0;0;0;3;0;1
384;25;24;9;31;21;92;2;1
385;25;5;4;30;5;31;0;4
386;25;9;2;4;5;11;0;1
387;25;33;0;0;0;1;0;0
388;25;13;3;13;3;13;0;0
389;25;1;3;3;3;4;0;0
390;25;20;0;2;0;3;0;0
391;25;7;2;0;3;3;0;0
392;25;5;6;14;4;24;0;1
393;25;24;2;6;1;6;0;0
394;25;8;0;1;0;6;0;1
395;25;13;2;5;1;8;0;0
396;25;1;4;9;5;9;0;1
397;25;20;0;0;0;1;0;0
398;25;7;0;2;0;2;0;0
399;25;5;24;135;21;127;3;15
400;25;9;0;21;0;12;0;0
401;25;8;2;14;2;8;0;0
402;25;13;13;70;11;82;0;1
403;25;1;5;25;2;15;0;1
404;25;20;0;8;2;6;0;0
405;25;11;0;1;0;1;0;0
406;25;7;2;7;0;8;0;0
407;25;30;0;0;1;1;0;0
408;25;5;1;10;5;19;2;6
409;25;24;0;3;0;9;0;0
410;25;1;1;4;2;5;1;2
411;25;20;0;2;0;2;0;0
412;25;5;0;0;1;2;0;2
413;25;5;0;7;0;9;0;1
414;25;13;0;9;1;9;0;1
415;25;1;0;2;0;2;0;0
416;25;7;0;0;0;1;0;0
417;25;5;7;27;5;27;0;0
418;25;5;0;0;1;0;0;0
419;25;24;0;0;0;1;0;0
420;25;13;0;0;0;1;0;0
421;25;5;0;1;1;0;1;0
422;25;1;0;0;0;1;0;0
423;25;5;0;1;0;1;0;0
424;25;13;0;1;1;1;0;0
425;25;11;0;1;0;1;0;0
426;25;5;3;1;0;4;0;1
427;25;1;0;1;0;2;0;0
428;25;5;7;17;10;23;1;3
429;25;24;2;7;2;11;0;0
430;25;33;0;1;0;1;0;0
431;25;13;3;8;2;11;0;3
432;25;1;2;2;2;4;0;0
433;25;7;0;1;1;7;0;2
434;25;5;0;0;0;1;0;0
435;25;35;0;0;0;1;0;0
436;25;5;4;11;5;19;0;1
437;25;13;1;3;1;9;0;0
438;25;1;0;3;0;5;0;0
439;25;20;0;4;0;7;0;0
440;25;11;0;3;0;3;0;0
441;25;7;0;1;1;2;0;0
442;25;5;9;19;9;26;0;0
443;25;24;0;4;0;4;0;0
444;25;8;0;2;0;8;0;2
445;25;13;2;13;4;18;0;0
446;25;1;2;1;1;2;0;1
447;25;20;0;1;0;2;0;0
448;25;7;2;2;2;1;0;0
449;25;5;1;3;1;3;0;0
450;25;5;0;1;1;1;0;0
451;25;5;0;1;0;4;0;2
452;25;20;0;1;0;1;0;0
453;25;5;0;1;0;1;0;0
454;25;5;1;0;1;0;0;0
455;25;24;0;0;1;0;0;0
456;25;8;0;0;0;1;0;0
457;25;13;0;0;0;1;0;0
458;25;11;0;1;0;1;0;0
459;25;7;0;1;1;1;0;0
460;25;30;0;0;0;1;0;0
461;25;1;0;1;0;1;0;0
462;25;5;0;1;0;2;0;0
463;25;11;0;3;0;1;0;0
464;25;30;0;0;0;1;0;1
465;25;33;0;1;0;1;0;0
466;25;13;8;90;7;83;0;0
467;25;5;24;65;36;193;3;33
468;25;5;8;45;8;54;3;11
469;25;2;1;2;1;1;0;0
470;25;9;1;8;2;13;0;0
471;25;13;1;11;2;12;0;1
472;25;1;2;13;0;14;0;4
473;25;20;0;5;0;9;0;2
474;25;7;1;2;3;4;0;2
475;25;30;0;1;0;1;0;0
476;25;5;3;10;4;11;1;1
477;25;24;1;2;1;3;0;1
478;25;8;1;1;2;1;1;0
479;25;13;0;1;0;1;0;0
480;25;1;2;3;2;3;0;0
481;25;11;0;1;0;1;0;0
482;25;7;0;0;0;1;0;0
483;25;5;9;43;7;26;2;1
484;25;9;0;8;0;6;0;0
485;25;10;1;1;1;1;0;0
486;25;8;1;3;0;3;0;0
487;25;13;1;24;1;23;0;0
488;25;1;2;8;1;9;0;0
489;25;20;0;2;0;6;0;3
490;25;7;0;1;0;1;0;0
491;25;5;8;14;10;16;2;5
492;25;24;0;6;1;10;0;0
493;25;1;2;10;2;9;0;1
494;25;20;0;1;0;2;0;1
495;25;11;2;1;0;1;0;0
496;25;5;1;4;2;4;2;1
497;25;13;2;3;1;3;0;1
498;25;1;0;2;0;2;0;0
499;25;20;0;0;0;1;0;0
500;25;8;0;1;0;1;0;0
501;25;7;0;1;0;1;0;0
502;25;5;1;0;1;0;0;0
503;25;5;1;3;1;5;0;1
504;25;1;0;1;0;3;0;1
505;25;5;2;13;2;12;0;0
506;25;24;1;3;0;2;0;0
507;25;8;0;0;0;1;0;0
508;25;13;4;11;4;7;0;0
509;25;1;1;2;1;1;0;0
510;25;11;0;3;0;1;0;0
511;25;7;0;2;0;2;0;0
512;25;5;0;0;0;1;0;1
513;25;35;0;0;0;1;0;0
514;25;5;1;15;3;26;0;2
515;25;13;1;6;2;6;0;0
516;25;1;2;3;2;6;0;0
517;25;20;0;1;0;1;0;0
518;25;11;0;1;0;1;0;0
519;25;7;0;1;0;1;0;0
520;25;5;1;11;2;15;0;2
521;25;8;0;1;0;1;0;0
522;25;13;1;1;2;6;0;0
523;25;1;1;0;1;3;0;1
524;25;20;1;0;1;2;0;0
525;25;5;0;1;0;1;0;0
526;25;13;0;2;0;2;0;0
527;25;5;8;49;7;61;1;9
528;25;2;0;1;0;1;0;0
529;25;24;1;11;1;13;0;1
530;25;13;3;12;2;19;0;0
531;25;1;5;13;7;17;0;2
532;25;20;0;6;0;7;0;1
533;25;7;0;4;0;8;0;1
534;25;5;0;1;0;1;0;0
535;25;5;2;3;2;2;0;0
536;25;9;1;0;1;0;0;0
537;25;20;0;0;0;1;0;0
538;25;35;0;2;0;2;0;0
539;25;5;0;3;0;2;0;0
540;25;24;0;1;0;1;0;0
541;25;13;0;2;1;2;0;0
542;25;7;0;0;0;1;0;0
543;25;30;0;0;0;1;0;0
544;25;5;0;1;0;1;0;0
545;25;5;2;8;3;7;0;0
546;25;2;0;2;0;2;0;0
547;25;1;0;2;0;3;0;0
548;25;20;1;2;1;2;0;0
549;25;11;0;2;0;1;0;0
550;25;5;0;2;0;2;0;0
551;25;1;0;1;0;1;0;0
552;25;1;1;1;0;1;0;0
553;25;5;0;0;0;1;0;1
554;25;1;0;1;0;1;0;0
555;25;7;0;1;0;1;0;0
556;25;30;0;1;0;1;0;0
557;25;5;3;1;1;0;0;0
558;25;9;0;1;0;1;0;0
559;25;5;0;0;0;1;0;0
560;25;7;0;1;0;1;0;0
561;25;20;0;0;0;1;0;0
562;25;5;1;1;0;4;0;1
563;25;24;0;1;0;1;0;0
564;25;1;0;2;0;2;0;0
565;25;20;0;1;0;1;0;0
566;25;11;1;1;0;1;0;0
567;25;5;0;0;0;1;0;1
568;25;5;0;0;0;1;0;0
569;25;13;0;1;0;3;0;0
570;25;1;0;2;0;1;0;0
571;25;20;0;0;0;1;0;0
572;25;5;0;1;0;3;0;1
573;25;13;2;0;2;0;0;0
574;25;1;1;1;1;1;0;0
